id,Title,SKU,"Product Type",parent_id,"Κατηγορίες Προϊόντων"
6449,"DRUM DR-510 KONICA MINOLTA BIZHUB 420 ORIGINAL",100-201-1-0006,simple,0,"KONICA MINOLTA>BIZHUB 360>DRUMS FOR BIZHUB 360>ORIGINAL DRUMS FOR BIZHUB 360|KONICA MINOLTA>BIZHUB 361>DRUMS FOR BIZHUB 361>ORIGINAL DRUMS FOR BIZHUB 361|KONICA MINOLTA>BIZHUB 420>DRUMS FOR BIZHUB 420>ORIGINAL DRUMS FOR BIZHUB 420|KONICA MINOLTA>BIZHUB 421>DRUMS FOR BIZHUB 421>ORIGINAL DRUMS FOR BIZHUB 421|KONICA MINOLTA>BIZHUB 500>DRUMS FOR BIZHUB 500>ORIGINAL DRUMS FOR BIZHUB 500|KONICA MINOLTA>BIZHUB 501>DRUMS FOR BIZHUB 501>ORIGINAL DRUMS FOR BIZHUB 501"
6451,"DRUM DR310 KONICA MINOLTA BIZHUB 250 ORIGINAL",100-201-1-0007,simple,0,"KONICA MINOLTA>BIZHUB 222>DRUMS FOR BIZHUB 222>ORIGINAL DRUMS FOR BIZHUB 222|KONICA MINOLTA>BIZHUB 250>DRUMS FOR BIZHUB 250>ORIGINAL DRUMS FOR BIZHUB 250|KONICA MINOLTA>BIZHUB 282>DRUMS FOR BIZHUB 282>ORIGINAL DRUMS FOR BIZHUB 282|KONICA MINOLTA>BIZHUB 350>DRUMS FOR BIZHUB 350>ORIGINAL DRUMS FOR BIZHUB 350|KONICA MINOLTA>BIZHUB 362>DRUMS FOR BIZHUB 362>ORIGINAL DRUMS FOR BIZHUB 362"
6453,"DRUM DU102C KONICA MINOLTA BIZHUB C5500 C6500 C5501 C6501 ORIGINAL",100-201-1-0010,simple,0,"KONICA MINOLTA>BIZHUB C5501>DRUMS FOR BIZHUB C5501>ORIGINAL DRUMS FOR BIZHUB C5501|KONICA MINOLTA>BIZHUB C6501>DRUMS FOR BIZHUB C6501>ORIGINAL DRUMS FOR BIZHUB C6501|DEVELOP>INEO +5501>DRUMS FOR INEO +5501>ORIGINAL DRUMS FOR INEO +5501|DEVELOP>INEO +6501>DRUMS FOR INEO +6501>ORIGINAL DRUMS FOR INEO +6501"
6455,"DRUM DR510 KONICA MINOLTA BIZHUB 360 ORIGINAL",100-201-1-0011,simple,0,"DEVELOP>INEO +360>DRUM UNITS FOR INEO +360>ORIGINAL DRUM UNITS FOR INEO +360|KONICA MINOLTA>BIZHUB 360>DRUMS FOR BIZHUB 360>ORIGINAL DRUMS FOR BIZHUB 360|KONICA MINOLTA>BIZHUB 361>DRUMS FOR BIZHUB 361>ORIGINAL DRUMS FOR BIZHUB 361|KONICA MINOLTA>BIZHUB 420>DRUMS FOR BIZHUB 420>ORIGINAL DRUMS FOR BIZHUB 420|KONICA MINOLTA>BIZHUB 421>DRUMS FOR BIZHUB 421>ORIGINAL DRUMS FOR BIZHUB 421|KONICA MINOLTA>BIZHUB 500>DRUMS FOR BIZHUB 500>ORIGINAL DRUMS FOR BIZHUB 500|KONICA MINOLTA>BIZHUB 501>DRUMS FOR BIZHUB 501>ORIGINAL DRUMS FOR BIZHUB 501|DEVELOP>INEO +361>DRUMS FOR INEO +361>ORIGINAL DRUMS FOR INEO +361|DEVELOP>INEO +420>DRUMS FOR INEO +420>ORIGINAL DRUMS FOR INEO +420|DEVELOP>INEO +421>DRUMS FOR INEO +421>ORIGINAL DRUMS FOR INEO +421|DEVELOP>INEO +500>DRUMS FOR INEO +500>ORIGINAL DRUMS FOR INEO +500|DEVELOP>INEO +501>DRUMS FOR INEO +501>ORIGINAL DRUMS FOR INEO +501"
6457,"DRUM DR120 KONICA MINOLTA BIZHUB 130F/131F/ ORIGINAL",100-201-1-0012,simple,0,"KONICA MINOLTA>BIZHUB 130F>DRUMS FOR BIZHUB 130F>ORIGINAL DRUMS FOR BIZHUB 130F|KONICA MINOLTA>BIZHUB 131F>DRUMS FOR BIZHUB 131F>ORIGINAL DRUMS FOR BIZHUB 131F|KONICA MINOLTA>BIZHUB 190F>DRUMS FOR BIZHUB 190F>ORIGINAL DRUMS FOR BIZHUB 190F|KONICA MINOLTA>BIZHUB 240F>DRUMS FOR BIZHUB 240F>ORIGINAL DRUMS FOR BIZHUB 240F"
6459,"DRUM DR710 KONICA MINOLTA BIZHUB 600 ORIGINAL",100-201-1-0013,simple,0,"KONICA MINOLTA>BIZHUB 600>DRUMS FOR BIZHUB 600>ORIGINAL DRUMS FOR BIZHUB 600|KONICA MINOLTA>BIZHUB 601>DRUMS FOR BIZHUB 601>ORIGINAL DRUMS FOR BIZHUB 601|KONICA MINOLTA>BIZHUB 750>DRUMS FOR BIZHUB 750>ORIGINAL DRUMS FOR BIZHUB 750|KONICA MINOLTA>BIZHUB 751>DRUMS FOR BIZHUB 751>ORIGINAL DRUMS FOR BIZHUB 751|DEVELOP>INEO 600>DRUMS FOR INEO 600>ORIGINAL DRUMS FOR INEO 600|DEVELOP>INEO 601>DRUMS FOR INEO 601>ORIGINAL DRUMS FOR INEO 601|DEVELOP>INEO 750>DRUMS FOR INEO 750>ORIGINAL DRUMS FOR INEO 750|DEVELOP>INEO 751>DRUMS FOR INEO 751>ORIGINAL DRUMS FOR INEO 751"
6461,"DRUM DR411 KONICA MINOLTA BIZHUB 283/363/423 ORIGINAL",100-201-1-0014,simple,0,"KONICA MINOLTA>BIZHUB 283>DRUMS FOR BIZHUB 283>ORIGINAL DRUMS FOR BIZHUB 283|KONICA MINOLTA>BIZHUB 363>DRUMS FOR BIZHUB 363>ORIGINAL DRUMS FOR BIZHUB 363|KONICA MINOLTA>BIZHUB 423>DRUMS FOR BIZHUB 423>ORIGINAL DRUMS FOR BIZHUB 423"
6463,"DRUM DR010 KONICA MINOLTA BIZHUB PRO 1050 ORIGINAL",100-201-1-0016,simple,0,"KONICA MINOLTA>BIZHUB PRO 1050>DRUMS FOR BIZHUB PRO 1050>ORIGINAL DRUMS FOR BIZHUB PRO 1050"
6465,"DRUM KONICA 1312 (K212) ORIGINAL",100-201-1-0017,simple,0,"KONICA MINOLTA>KONICA 1312>DRUMS FOR KONICA 1312>ORIGINAL DRUMS FOR KONICA 1312"
6467,"DRUM KONICA 7013 (IOF2) ORIGINAL",100-201-1-0023,simple,0,"KONICA MINOLTA>KONICA 7013>DRUMS FOR KONICA 7013>ORIGINAL DRUMS FOR KONICA 7013"
6469,"DRUM UNIT DR311K KONICA MINOLTA BIZHUB C220 C280 C360 BLACK ORIGINAL",100-201-1-0019,simple,0,"KONICA MINOLTA>BIZHUB C280>DRUM UNITS FOR BIZHUB C280>ORIGINAL DRUM UNITS FOR BIZHUB C280|KONICA MINOLTA>BIZHUB C360>DRUM UNITS FOR BIZHUB C360>ORIGINAL DRUM UNITS FOR BIZHUB C360|DEVELOP>INEO +220>DRUM UNITS FOR INEO +220>ORIGINAL DRUM UNITS FOR INEO +220|DEVELOP>INEO +360>DRUM UNITS FOR INEO +360>ORIGINAL DRUM UNITS FOR INEO +360|KONICA MINOLTA>BIZHUB C220>DRUM UNITS FOR BIZHUB C220>ORIGINAL DRUMS UNITS FOR BIZHUB C220|DEVELOP>INEO +280>DRUMS UNITS FOR INEO +280>ORIGINAL DRUMS UNITS FOR INEO +280"
6471,"DRUM UNIT DR311C KONICA MINOLTA BIZHUB C220 C280 C360 COLOR ORIGINAL",100-201-1-0020,simple,0,"KONICA MINOLTA>BIZHUB C280>DRUM UNITS FOR BIZHUB C280>ORIGINAL DRUM UNITS FOR BIZHUB C280|KONICA MINOLTA>BIZHUB C360>DRUM UNITS FOR BIZHUB C360>ORIGINAL DRUM UNITS FOR BIZHUB C360|DEVELOP>INEO +220>DRUM UNITS FOR INEO +220>ORIGINAL DRUM UNITS FOR INEO +220|DEVELOP>INEO +360>DRUM UNITS FOR INEO +360>ORIGINAL DRUM UNITS FOR INEO +360|KONICA MINOLTA>BIZHUB C220>DRUM UNITS FOR BIZHUB C220>ORIGINAL DRUMS UNITS FOR BIZHUB C220|DEVELOP>INEO +280>DRUMS UNITS FOR INEO +280>ORIGINAL DRUMS UNITS FOR INEO +280"
